Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1722440455.8640327,21585,1722440455,863905025,world,-0.02196568064391613,-0.8108916878700256,1.1677123308181763,0.006637914571911097,-0.00039391874452121556,-0.07264958322048187,0.9973354339599609
1722440455.8726304,21586,1722440455,872485778,world,-0.02212577871978283,-0.8108869791030884,1.1675505638122559,0.006284804083406925,-0.00010056670726044104,-0.07254799455404282,0.9973451495170593
1722440455.8831875,21587,1722440455,883030667,world,-0.02210497297346592,-0.8109040260314941,1.1675856113433838,0.0062511982396245,-0.0001375231076963246,-0.07257446646690369,0.9973434805870056
1722440455.8941805,21588,1722440455,893914380,world,-0.021911902353167534,-0.8109971880912781,1.1679449081420898,0.00681616086512804,-0.0012551499530673027,-0.0735507532954216,0.997267484664917
1722440455.9028718,21589,1722440455,902664935,world,-0.021931355819106102,-0.8109233975410461,1.1678227186203003,0.006697703618556261,-0.000405072292778641,-0.07264795899391174,0.9973351359367371
1722440455.9129975,21590,1722440455,912824870,world,-0.02191472053527832,-0.8110131025314331,1.1679681539535522,0.007015707436949015,-0.001326524536125362,-0.0735788643360138,0.9972638487815857
1722440455.9232407,21591,1722440455,923049727,world,-0.021927068009972572,-0.8109810948371887,1.1679558753967285,0.007195914164185524,-0.0014196023112162948,-0.07359243929386139,0.9972614645957947
1722440455.9334142,21592,1722440455,933184262,world,-0.021948354318737984,-0.8109897375106812,1.1679332256317139,0.006962658371776342,-0.0012978519080206752,-0.07343683391809464,0.9972746968269348
1722440455.9431767,21593,1722440455,942959036,world,-0.021951349452137947,-0.810992956161499,1.1679106950759888,0.007046454586088657,-0.0013700471026822925,-0.07353662699460983,0.9972667098045349
1722440455.9531744,21594,1722440455,952959031,world,-0.021967750042676926,-0.810871958732605,1.1677509546279907,0.006771588698029518,-0.0002922211424447596,-0.0725521668791771,0.9973415732383728
1722440455.9632297,21595,1722440455,963000956,world,-0.02195557951927185,-0.8108847141265869,1.1677472591400146,0.006575970444828272,-0.00030585069907829165,-0.07272453606128693,0.997330367565155
1722440455.9732175,21596,1722440455,973006220,world,-0.022112682461738586,-0.8108854293823242,1.167554259300232,0.006337091326713562,-0.00015663227532058954,-0.07255057990550995,0.9973446726799011
1722440455.9834125,21597,1722440455,983135414,world,-0.02207152545452118,-0.8109593391418457,1.1676087379455566,0.005324019584804773,-0.0003190247807651758,-0.07265814393758774,0.9973427057266235
1722440455.992638,21598,1722440455,992397658,world,-0.02210880257189274,-0.8109089732170105,1.1675976514816284,0.0062547349371016026,-7.551106682512909e-05,-0.07257293164730072,0.9973434805870056
1722440456.0041409,21599,1722440456,3904347,world,-0.021945210173726082,-0.8109070062637329,1.167789101600647,0.006584646180272102,-0.00041418769978918135,-0.07270573079586029,0.9973316788673401
1722440456.0138023,21600,1722440456,13641334,world,-0.021930409595370293,-0.8110132813453674,1.1679385900497437,0.006998231168836355,-0.001265021855942905,-0.07348780333995819,0.9972707629203796
1722440456.0234845,21601,1722440456,23254795,world,-0.021939793601632118,-0.8109899759292603,1.1679391860961914,0.007102437783032656,-0.0013512244913727045,-0.07357517629861832,0.997263491153717
1722440456.0341575,21602,1722440456,33960686,world,-0.021950410678982735,-0.8109838366508484,1.1679348945617676,0.007182216737419367,-0.0013447608798742294,-0.07348037511110306,0.9972699284553528
1722440456.0451622,21603,1722440456,44951648,world,-0.0219397135078907,-0.8109979629516602,1.1679320335388184,0.007126252632588148,-0.0012832580832764506,-0.07346910238265991,0.9972712993621826
1722440456.0533504,21604,1722440456,53163437,world,-0.02196348085999489,-0.8108804225921631,1.1677618026733398,0.006678772624582052,-0.0003780280821956694,-0.07261262089014053,0.9973378777503967
1722440456.0639842,21605,1722440456,63838489,world,-0.021949172019958496,-0.8108810782432556,1.1677680015563965,0.00672437809407711,-0.00033272901782765985,-0.0726841613650322,0.9973323345184326
1722440456.0734487,21606,1722440456,73266619,world,-0.02192937768995762,-0.8109956979751587,1.167896032333374,0.006741759367287159,-0.001328357495367527,-0.07355110347270966,0.9972678422927856
1722440456.083111,21607,1722440456,82970313,world,-0.022106435149908066,-0.8109005093574524,1.167590618133545,0.006425458937883377,-0.00016552128363400698,-0.0724797397851944,0.9973491430282593
1722440456.092976,21608,1722440456,92822550,world,-0.02205902710556984,-0.8109782338142395,1.167639136314392,0.005377334076911211,-0.0003323145501781255,-0.07264912873506546,0.9973430633544922
1722440456.1030474,21609,1722440456,102891539,world,-0.021944817155599594,-0.8109093904495239,1.1677922010421753,0.00659193005412817,-0.00028626236598938704,-0.07269299775362015,0.9973326325416565
1722440456.1141546,21610,1722440456,114039075,world,-0.021953977644443512,-0.8109196424484253,1.1677964925765991,0.006660666316747665,-0.0003062451141886413,-0.07264769822359085,0.9973353743553162
1722440456.1234286,21611,1722440456,123239875,world,-0.021937774494290352,-0.8110054731369019,1.167930006980896,0.007057832553982735,-0.0014144735177978873,-0.07371430099010468,0.99725341796875
1722440456.1332972,21612,1722440456,133124373,world,-0.021935779601335526,-0.8109791874885559,1.167917251586914,0.0070066191256046295,-0.0013612869661301374,-0.0736481174826622,0.9972587823867798
1722440456.143181,21613,1722440456,143006775,world,-0.021943217143416405,-0.8109697103500366,1.1679097414016724,0.007064939476549625,-0.0012941842433065176,-0.07359033823013306,0.997262716293335
