Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1721229514.8997924,0,1721229514,899633846,,0.3817433091017584,-0.001100738937354044,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.8998044,1,1721229514,899678539,,0.38174330905291654,-0.0011007387464622511,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.9049714,2,1721229514,904805574,,0.3817433075720099,-0.0011007329627366002,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.9100642,3,1721229514,909954383,,0.38174329773268867,-0.0011006945658454705,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.9148312,4,1721229514,914774755,,0.3817432622163126,-0.0011005560849783199,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.9198523,5,1721229514,919778533,,0.3817431690854826,-0.001100193282093149,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.924826,6,1721229514,924741045,,0.38174296818663206,-0.0010994113680108898,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.9299588,7,1721229514,929784514,,0.3817425881387179,-0.0010979335761207825,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.934984,8,1721229514,934799012,,0.38174193386667404,-0.0010953919250982775,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.939941,9,1721229514,939802698,,0.3817408846398831,-0.0010913200085610132,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.9448667,10,1721229514,944769689,,0.3817392925774905,-0.0010851476559989696,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.950086,11,1721229514,949854822,,0.3817369815839224,-0.0010761973156119692,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.955118,12,1721229514,954881875,,0.38173374667948085,-0.0010636820158713134,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.959943,13,1721229514,959782984,,0.3817293536923727,-0.001046704768692484,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.9649484,14,1721229514,964823540,,0.3817235392799848,-0.00102425928306252,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.9698575,15,1721229514,969786278,,0.3817160112486457,-0.0009952318638088878,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.974887,16,1721229514,974780060,,0.38170644914251367,-0.0009584043759264069,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.9798923,17,1721229514,979779525,,0.3816945050736056,-0.0009124581604950755,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.9849763,18,1721229514,984815832,,0.38167980476632235,-0.0008559787937244413,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.9899156,19,1721229514,989821692,,0.3816619487911477,-0.0007874615860495151,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.995067,20,1721229514,994812272,,0.3816405139634827,-0.0007053177234790951,0.26637101740330027,0.0,0.0,0.0,1.0
1721229514.9999518,21,1721229514,999792453,,0.381615054884843,-0.000607880958559784,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0050154,22,1721229515,4791878,,0.3815851056048775,-0.0004934147633679172,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.009823,23,1721229515,9754054,,0.38155018138387475,-0.0003601198618771058,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0148265,24,1721229515,14751630,,0.3815097805366001,-0.0002061420638710959,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0199106,25,1721229515,19779129,,0.38146338633945964,-2.958032728019814e-05,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0249748,26,1721229515,24815115,,0.3814104689841077,0.00017150501958539447,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0305746,27,1721229515,30352029,,0.3813504875617108,0.0003990839599504572,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.03512,28,1721229515,34902234,,0.38128289206314897,0.0006551484343146931,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0400097,29,1721229515,39882455,,0.38120712538147367,0.0009417040054400412,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0449102,30,1721229515,44802242,,0.38112262530395513,0.0012607615938663795,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0499785,31,1721229515,49816080,,0.3810288264820355,0.0016143293312089358,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0548723,32,1721229515,54766557,,0.38092516236846,0.002004404574576419,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0599787,33,1721229515,59822675,,0.38081106711178875,0.002432966121648108,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0650685,34,1721229515,64838924,,0.3806859773993918,0.0029019666622607685,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.070117,35,1721229515,69839577,,0.38054933424090376,0.003413325498782413,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0749295,36,1721229515,74785626,,0.3804005846849595,0.003968921564089519,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0798678,37,1721229515,79737888,,0.3802391834628518,0.004570586762617327,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0848534,38,1721229515,84742690,,0.38006459455353964,0.005220099656719467,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0898988,39,1721229515,89786456,,0.37987629266520073,0.005919179517453038,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.0949154,40,1721229515,94791795,,0.3796737646292553,0.006669480755898856,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.099955,41,1721229515,99814667,,0.3794565107034945,0.007472587748233337,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.1050122,42,1721229515,104835825,,0.3792240457816286,0.008330010064989134,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.1099298,43,1721229515,109799255,,0.37897590050721813,0.009243178112275202,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.1148608,44,1721229515,114751590,,0.3787116222905784,0.010213439190174558,0.26637101740330027,0.0,0.0,0.0,1.0
1721229515.119844,45,1721229515,119760091,,0.37843077622784177,0.011242053971098663,0.2663710174033002,0.0,0.0,0.0,1.0
1721229515.1252716,46,1721229515,124955983,,0.3781329459219303,0.012330193398551606,0.2663710174033002,0.0,0.0,0.0,1.0
1721229515.1300466,47,1721229515,129843461,,0.3778177342057345,0.013478936004545057,0.2663710174033002,0.0,0.0,0.0,1.0
1721229515.134919,48,1721229515,134788969,,0.37748476376830287,0.014689265641806193,0.2663710174033002,0.0,0.0,0.0,1.0
1721229515.1398892,49,1721229515,139780985,,0.3771336776853362,0.01596206962493528,0.2663710174033002,0.0,0.0,0.0,1.0
1721229515.1449387,50,1721229515,144805163,,0.3767641398557345,0.017298137272797998,0.2663710174033002,0.0,0.0,0.0,1.0
1721229515.149887,51,1721229515,149775264,,0.3763758353463774,0.01869815884267886,0.2663710174033002,0.0,0.0,0.0,1.0
1721229515.1550145,52,1721229515,154822602,,0.37596847064771755,0.020162724845077435,0.2663710174033002,0.0,0.0,0.0,1.0
1721229515.1599543,53,1721229515,159799057,,0.3755417738431434,0.02169232572649756,0.26637101740330016,0.0,0.0,0.0,1.0
1721229515.1649933,54,1721229515,164798041,,0.3750954946954134,0.023287351906161522,0.26637101740330016,0.0,0.0,0.0,1.0
1721229515.169986,55,1721229515,169782996,,0.374629404653782,0.024948094151276873,0.26637101740330016,0.0,0.0,0.0,1.0
1721229515.1748776,56,1721229515,174755725,,0.37414329678572905,0.026674744274292332,0.26637101740330016,0.0,0.0,0.0,1.0
1721229515.1798735,57,1721229515,179765370,,0.37363698563746894,0.028467396134501926,0.2663710174033001,0.0,0.0,0.0,1.0
1721229515.1849651,58,1721229515,184806329,,0.37311030702764864,0.030326046925391682,0.2663710174033001,0.0,0.0,0.0,1.0
1721229515.1916904,59,1721229515,190766952,,0.37256311777885476,0.032250598728273544,0.2663710174033001,0.0,0.0,0.0,1.0
1721229515.194968,60,1721229515,194833446,,0.3719952953917275,0.03424086031201301,0.26637101740330005,0.0,0.0,0.0,1.0
1721229515.199938,61,1721229515,199775457,,0.37140673766663335,0.03629654915803393,0.26637101740330005,0.0,0.0,0.0,1.0
1721229515.2049265,62,1721229515,204753135,,0.3707973622779721,0.0384172936892729,0.2663710174033,0.0,0.0,0.0,1.0
1721229515.2098672,63,1721229515,209789466,,0.37016710630629157,0.04060263568136033,0.2663710174033,0.0,0.0,0.0,1.0
1721229515.2148783,64,1721229515,214758597,,0.3695159257334514,0.042852032834019775,0.26637101740329994,0.0,0.0,0.0,1.0
1721229515.219885,65,1721229515,219770647,,0.3688437949061204,0.04516486148050933,0.26637101740329994,0.0,0.0,0.0,1.0
1721229515.2249687,66,1721229515,224813771,,0.36815070597290495,0.04754041941287106,0.2663710174032999,0.0,0.0,0.0,1.0
1721229515.229984,67,1721229515,229802285,,0.36743666830039107,0.04997792880081273,0.2663710174032999,0.0,0.0,0.0,1.0
1721229515.2349098,68,1721229515,234775049,,0.3667017078733427,0.05247653918221463,0.2663710174032998,0.0,0.0,0.0,1.0
1721229515.2398596,69,1721229515,239758167,,0.3659458666842291,0.05503533050354144,0.26637101740329977,0.0,0.0,0.0,1.0
1721229515.244913,70,1721229515,244798283,,0.3651692021171552,0.05765331618883265,0.2663710174032997,0.0,0.0,0.0,1.0
1721229515.2498927,71,1721229515,249767495,,0.36437178633114675,0.060329446216460345,0.26637101740329966,0.0,0.0,0.0,1.0
1721229515.2550924,72,1721229515,254851860,,0.3635537056475879,0.06306261018346297,0.26637101740329966,0.0,0.0,0.0,1.0
1721229515.260011,73,1721229515,259840259,,0.3627150599464276,0.06585164033800515,0.2663710174032996,0.0,0.0,0.0,1.0
1721229515.264905,74,1721229515,264768897,,0.36185596207556625,0.06869531456136417,0.2663710174032995,0.0,0.0,0.0,1.0
1721229515.2698648,75,1721229515,269793192,,0.3609765372775942,0.0715923592818065,0.26637101740329944,0.0,0.0,0.0,1.0
1721229515.2748811,76,1721229515,274762141,,0.3600769226377941,0.0745414523037982,0.2663710174032994,0.0,0.0,0.0,1.0
1721229515.2798765,77,1721229515,279767219,,0.3591572665570251,0.0775412255371856,0.2663710174032993,0.0,0.0,0.0,1.0
1721229515.2866182,78,1721229515,286325477,,0.3582177282527889,0.08059026761228347,0.2663710174032992,0.0,0.0,0.0,1.0
