Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1721233583.362467,0.0,0.0,0.0,0.0,0.0,0.0
1721233583.3625023,-1.2158127668593042e-08,4.7511755879671006e-08,5.918470612274513e-23,0.0,0.0,0.0
1721233583.3675497,-1.8957418061505052e-07,7.401930641442906e-07,9.305348721237673e-22,0.0,0.0,0.0
1721233583.3726678,-9.351631976172456e-07,3.6481771724302003e-06,4.6293320542988856e-21,0.0,0.0,0.0
1721233583.3781354,-2.8796266749965846e-06,1.1223760830491706e-05,1.437844965921787e-20,0.0,0.0,0.0
1721233583.3827782,-6.8488982097540985e-06,2.6670269002427586e-05,3.449925490474024e-20,0.0,0.0,0.0
1721233583.3876934,-1.3833778145188855e-05,5.3819849203974577e-05,7.03091454672159e-20,0.0,0.0,0.0
1721233583.3927162,-2.4961675422986204e-05,9.70198607542494e-05,1.280254549210638e-19,0.0,0.0,0.0
1721233583.3982072,-4.147037623220552e-05,0.0001610275299046645,2.1467547034670812e-19,0.0,0.0,0.0
1721233583.4029377,-6.468376043203934e-05,0.00025091254748108694,3.380123147526367e-19,0.0,0.0,0.0
1721233583.4075475,-9.598938811165754e-05,0.000371967291348653,5.064364562271327e-19,0.0,0.0,0.0
1721233583.41275,-0.00013681788003689298,0.0005296243616819959,7.28922615005017e-19,0.0,0.0,0.0
1721233583.4179378,-0.0001886240171199664,0.0007293811226969866,1.0149518489045211e-18,0.0,0.0,0.0
1721233583.4231014,-0.00025286948543489104,0.0009767309501734313,1.3744486068592045e-18,0.0,0.0,0.0
1721233583.4278154,-0.0003310071946876397,0.0012771008897715186,1.817722549539604e-18,0.0,0.0,0.0
1721233583.432558,-0.0004244670994365976,0.0016357954368181394,2.355414945329101e-18,0.0,0.0,0.0
1721233583.4375153,-0.00053464345374527,0.0020579461539125647,2.998449459188269e-18,0.0,0.0,0.0
1721233583.4426963,-0.0006628834313356502,0.0025484668483743,3.7579871612117515e-18,0.0,0.0,0.0
1721233583.447782,-0.0008104770446971021,0.003112014037229267,4.645385590951524e-18,0.0,0.0,0.0
